feature,n_changes_com_uf,pct_com_uf,n_changes_sem_uf,pct_sem_uf
IDH_EXPECT_ANOS_ESTUDO,4.0,13.3,10.0,33.3
PROP_MAT_BRANCA,1.0,3.3,9.0,30.0
IDH_RAZAO_DEPENDENCIA,1.0,3.3,8.0,26.7
PROP_MAT_INDIGENA,,,3.0,10.0
PROP_DOM_SEM_CONJUGE_MULHER,1.0,3.3,3.0,10.0
PERC_RENDA_OUTRAS_FONTES,1.0,3.3,3.0,10.0
COBERTURA_CRECHE_0_3,10.0,33.3,3.0,10.0
PROP_MAT_PARDA,1.0,3.3,2.0,6.7
RENDA_MEDIANA_RESPONSAVEL,,,2.0,6.7
LOG_POP_TOTAL,2.0,6.7,2.0,6.7
MEDIA_MAT_0_3_POR_ESCOLA,2.0,6.7,2.0,6.7
TAXA_OCUP_MASC,,,2.0,6.7
ESCOLAS_CRECHE_POR_1000_CRIAN,,,1.0,3.3
IDH_PROP_POBREZA_CRIANCAS,,,1.0,3.3
PROP_MAT_PRETA,2.0,6.7,1.0,3.3
LOG_PIB_PC,3.0,10.0,,
PIB_PC,2.0,6.7,,
PROP_ESC_PUBLICA,2.0,6.7,,
PROP_ESC_URBANA,1.0,3.3,,
SG_UF,20.0,66.7,,
