feature,feature_type,n_changes
IDH_EXPECT_ANOS_ESTUDO,actionable,10
PROP_MAT_BRANCA,actionable,9
IDH_RAZAO_DEPENDENCIA,actionable,8
PROP_MAT_INDIGENA,actionable,3
PROP_DOM_SEM_CONJUGE_MULHER,actionable,3
PERC_RENDA_OUTRAS_FONTES,actionable,3
COBERTURA_CRECHE_0_3,actionable,3
PROP_MAT_PARDA,actionable,2
RENDA_MEDIANA_RESPONSAVEL,actionable,2
LOG_POP_TOTAL,actionable,2
MEDIA_MAT_0_3_POR_ESCOLA,actionable,2
TAXA_OCUP_MASC,actionable,2
ESCOLAS_CRECHE_POR_1000_CRIAN,actionable,1
IDH_PROP_POBREZA_CRIANCAS,actionable,1
PROP_MAT_PRETA,actionable,1
