feature,feature_type,n_changes,mean_delta,median_delta,mean_abs_delta
COBERTURA_CRECHE_0_3,actionable,10,-0.3287427,-0.3453165,0.3287427
IDH_EXPECT_ANOS_ESTUDO,actionable,4,-0.01499999999999968,0.30500000000000016,1.185
LOG_PIB_PC,actionable,3,1.5174173333333325,1.0948259999999994,1.5174173333333325
LOG_POP_TOTAL,actionable,2,0.055597999999999814,0.055597999999999814,0.40379899999999935
MEDIA_MAT_0_3_POR_ESCOLA,actionable,2,26.0,26.0,26.0
PIB_PC,actionable,2,191609.41999999998,191609.41999999998,191609.41999999998
PROP_ESC_PUBLICA,actionable,2,-0.37368399999999996,-0.37368399999999996,0.37368399999999996
PROP_MAT_PRETA,actionable,2,-0.04276300000000001,-0.04276300000000001,0.08957
IDH_RAZAO_DEPENDENCIA,actionable,1,-24.08,-24.08,24.08
PERC_RENDA_OUTRAS_FONTES,actionable,1,26.27,26.27,26.27
PROP_DOM_SEM_CONJUGE_MULHER,actionable,1,0.016720000000000013,0.016720000000000013,0.016720000000000013
PROP_ESC_URBANA,actionable,1,-0.23902400000000001,-0.23902400000000001,0.23902400000000001
PROP_MAT_BRANCA,actionable,1,0.456905,0.456905,0.456905
PROP_MAT_PARDA,actionable,1,0.25157399999999996,0.25157399999999996,0.25157399999999996
