instance_rank,original_index,counterfactual_id,feature,original_value,counterfactual_value
1,17,1,SG_UF,BA,RN
1,17,1,PIB_PC,13654.27,181436.49
1,17,2,COBERTURA_CRECHE_0_3,0.377551,0.03817
1,17,3,SG_UF,BA,SE
1,17,3,LOG_PIB_PC,9.521881,12.765084
2,22,1,SG_UF,BA,SE
2,22,1,PIB_PC,16170.12,231606.74
2,22,2,SG_UF,BA,RN
2,22,2,LOG_PIB_PC,9.690982,10.785808
2,22,3,SG_UF,BA,PB
2,22,3,PROP_MAT_PRETA,0.245283,0.11295
3,116,1,COBERTURA_CRECHE_0_3,0.778846,0.371947
3,116,1,IDH_EXPECT_ANOS_ESTUDO,9.34,9.9
3,116,2,SG_UF,BA,CE
3,116,2,PROP_ESC_PUBLICA,1.0,0.9
3,116,3,SG_UF,BA,CE
3,116,3,PROP_DOM_SEM_CONJUGE_MULHER,0.135542,0.152262
4,250,1,SG_UF,BA,RN
4,250,1,COBERTURA_CRECHE_0_3,0.460274,0.342612
4,250,2,SG_UF,BA,PB
4,250,2,IDH_EXPECT_ANOS_ESTUDO,9.35,6.95
4,250,3,SG_UF,BA,SE
4,250,3,LOG_PIB_PC,9.248461,9.462684
5,226,1,SG_UF,BA,PE
5,226,1,PROP_ESC_PUBLICA,0.947368,0.3
5,226,2,COBERTURA_CRECHE_0_3,0.454152,0.206101
5,226,3,COBERTURA_CRECHE_0_3,0.454152,0.185429
5,226,3,PERC_RENDA_OUTRAS_FONTES,24.27,50.54
6,130,1,COBERTURA_CRECHE_0_3,0.556597,0.205345
6,130,2,PROP_ESC_URBANA,0.439024,0.2
6,130,2,COBERTURA_CRECHE_0_3,0.556597,0.205345
6,130,3,SG_UF,BA,PE
7,156,1,SG_UF,AL,CE
7,156,2,SG_UF,AL,PE
7,156,2,PROP_MAT_BRANCA,0.247951,0.704856
7,156,3,PROP_MAT_PARDA,0.704918,0.956492
7,156,3,LOG_POP_TOTAL,8.665096,8.316895
8,216,1,SG_UF,BA,RN
8,216,1,IDH_EXPECT_ANOS_ESTUDO,7.16,7.21
8,216,2,SG_UF,BA,PB
8,216,2,IDH_EXPECT_ANOS_ESTUDO,7.16,8.89
8,216,3,SG_UF,BA,CE
9,200,1,COBERTURA_CRECHE_0_3,0.444139,0.121053
9,200,1,MEDIA_MAT_0_3_POR_ESCOLA,9,50
9,200,2,COBERTURA_CRECHE_0_3,0.444139,0.082189
9,200,2,MEDIA_MAT_0_3_POR_ESCOLA,9,20
9,200,3,SG_UF,BA,PE
9,200,3,IDH_RAZAO_DEPENDENCIA,61.15,37.07
10,179,1,COBERTURA_CRECHE_0_3,0.574627,0.055456
10,179,1,LOG_POP_TOTAL,8.963032,9.422429
10,179,2,SG_UF,BA,PI
10,179,2,PROP_MAT_PRETA,0.15534,0.202147
10,179,3,SG_UF,BA,SE
